"Season","Site","CoreName","CoreNo","DNE"
"Winter","Carrot","LoRef",1,63.8850820376308
"Winter","Carrot","HiRef",1,14.3590668838688
"Winter","NOAA","LO",1,69.0687165761901
"Winter","NOAA","LO",2,100
"Winter","NOAA","LO",3,47.9089082163995
"Winter","NOAA","HO",1,100
"Winter","NOAA","HO",2,100
"Winter","NOAA","HO",3,100
"Winter","NOAA","LM",1,30.0772586269503
"Winter","NOAA","LM",2,100
"Winter","NOAA","LM",3,39.6178785337047
"Winter","NOAA","MM",1,52.923840067326
"Winter","NOAA","MM",2,29.3033054667774
"Winter","NOAA","MM",3,100
"Winter","NOAA","HM",1,48.9859856806167
"Winter","NOAA","HM",2,100
"Winter","NOAA","HM",3,100
"Winter","NOAA","Ref",1,55.4213882160362
"Winter","NOAA","Ref",2,100
"Winter","NOAA","Ref",3,100
"Winter","NOAA","LoRef",1,100
"Winter","NOAA","HiRef",1,100
"Winter","Army","LO",1,31.2568823349352
"Winter","Army","LO",2,3.46190534468789
"Winter","Army","LO",3,23.7224747322389
"Winter","Army","HO",1,100
"Winter","Army","HO",2,100
"Winter","Army","HO",3,100
"Winter","Army","LM",1,100
"Winter","Army","LM",2,27.5361852232526
"Winter","Army","LM",3,45.2047672001664
"Winter","Army","MM",1,100
"Winter","Army","MM",2,0
"Winter","Army","MM",3,NA
"Winter","Army","HM",1,100
"Winter","Army","HM",2,0
"Winter","Army","HM",3,100
"Winter","Army","Ref",1,12.4206752327274
"Winter","Army","Ref",2,100
"Winter","Army","Ref",3,100
"Winter","Army","LoRef",1,17.2406912443223
"Winter","Army","HiRef",1,0
"Spring","IMS","LO",1,100
"Spring","IMS","LO",2,100
"Spring","IMS","LO",3,100
"Spring","IMS","HO",1,100
"Spring","IMS","HO",2,100
"Spring","IMS","HO",3,65.1255602344256
"Spring","IMS","MM",1,65.3596921881551
"Spring","IMS","MM",2,9.47659536831105
"Spring","IMS","MM",3,15.6250445553568
"Spring","IMS","Ref",1,100
"Spring","IMS","Ref",2,100
"Spring","IMS","Ref",3,94.4155781279733
"Spring","IMS","LoRef",1,NA
"Spring","IMS","HiRef",1,NA
"Spring","Carrot","LO",1,65.842300955197
"Spring","Carrot","LO",2,100
"Spring","Carrot","LO",3,35.7187162825054
"Spring","Carrot","HO",1,100
"Spring","Carrot","HO",2,22.5662666489066
"Spring","Carrot","HO",3,41.8000075431318
"Spring","Carrot","LM",1,NA
"Spring","Carrot","LM",2,100
"Spring","Carrot","LM",3,46.0142484473724
"Spring","Carrot","MM",1,100
"Spring","Carrot","MM",2,32.0531836242619
"Spring","Carrot","MM",3,100
"Spring","Carrot","HM",1,22.9165524914354
"Spring","Carrot","HM",2,100
"Spring","Carrot","HM",3,56.1595475364674
"Spring","Carrot","Ref",1,100
"Spring","Carrot","Ref",2,100
"Spring","Carrot","Ref",3,31.8766759425368
"Spring","Carrot","LoRef",1,NA
"Spring","Carrot","HiRef",1,NA
"Spring","NOAA","LO",1,46.5535438751316
"Spring","NOAA","LO",2,100
"Spring","NOAA","LO",3,NA
"Spring","NOAA","HO",1,100
"Spring","NOAA","HO",2,100
"Spring","NOAA","HO",3,100
"Spring","NOAA","LM",1,55.979612867701
"Spring","NOAA","LM",2,100
"Spring","NOAA","LM",3,100
"Spring","NOAA","MM",1,100
"Spring","NOAA","MM",2,100
"Spring","NOAA","MM",3,100
"Spring","NOAA","HM",1,100
"Spring","NOAA","HM",2,100
"Spring","NOAA","HM",3,92.3113667036532
"Spring","NOAA","Ref",1,100
"Spring","NOAA","Ref",2,96.9467935345831
"Spring","NOAA","Ref",3,100
"Spring","NOAA","LoRef",1,NA
"Spring","NOAA","HiRef",1,NA
"Spring","Army","LO",1,100
"Spring","Army","LO",2,59.3099360872798
"Spring","Army","LO",3,100
"Spring","Army","HO",1,100
"Spring","Army","HO",2,100
"Spring","Army","HO",3,100
"Spring","Army","LM",1,100
"Spring","Army","LM",2,100
"Spring","Army","LM",3,78.4018548991976
"Spring","Army","MM",1,56.3825466082988
"Spring","Army","MM",2,62.8893523153453
"Spring","Army","MM",3,89.4370439086582
"Spring","Army","HM",1,100
"Spring","Army","HM",2,100
"Spring","Army","HM",3,100
"Spring","Army","Ref",1,100
"Spring","Army","Ref",2,100
"Spring","Army","Ref",3,88.6075459164398
"Spring","Army","LoRef",1,NA
"Spring","Army","HiRef",1,NA
