Season,Site,CoreName,CoreNo,N2Flux
Fall,Army,LM,2,5.724428734
Fall,Army,LM,3,9.291371088
Fall,Army,MM,1,25.2216128
Fall,Army,MM,2,14.03683537
Fall,Army,MM,3,-1.374735078
Fall,Army,HM,1,13.03570401
Fall,Army,HM,2,-5.058904154
Fall,Army,HM,3,11.9073468
Fall,Army,Ref,1,18.63364445
Fall,Army,Ref,2,26.65015119
Fall,Army,Ref,3,24.17560266
Fall,Army,LoRef,1,5.909135486
Fall,Army,HiRef,1,0.486760904
Winter,IMS,LO,1,14.45566027
Winter,IMS,LO,2,24.05583931
Winter,IMS,LO,3,19.35188843
Winter,IMS,HO,1,5.354375399
Winter,IMS,HO,2,5.401150322
Winter,IMS,HO,3,-0.019059448
Winter,IMS,MM,1,61.98353808
Winter,IMS,MM,2,31.453279
Winter,IMS,MM,3,11.35600466
Winter,IMS,Ref,1,12.17064057
Winter,IMS,Ref,2,15.33893752
Winter,IMS,Ref,3,14.65536602
Winter,IMS,LoRef,1,21.13938256
Winter,IMS,HiRef,1,47.63157248
Winter,Carrot,LO,1,37.17774669
Winter,Carrot,LO,2,39.20303851
Winter,Carrot,LO,3,54.86740257
Winter,Carrot,HO,1,34.61081443
Winter,Carrot,HO,3,80.78628846
Winter,Carrot,LM,1,7.79652672
Winter,Carrot,LM,2,18.78011239
Winter,Carrot,LM,3,24.99388885
Winter,Carrot,MM,1,10.62431844
Winter,Carrot,MM,2,10.50763813
Winter,Carrot,MM,3,37.29394279
Winter,Carrot,HM,1,17.84374592
Winter,Carrot,HM,2,35.68666436
Winter,Carrot,HM,3,37.62011444
Winter,Carrot,Ref,1,-6.007156004
Winter,Carrot,Ref,2,-19.7174542
Winter,Carrot,Ref,3,-1.949475957
Winter,Carrot,LoRef,1,13.99821486
Winter,Carrot,HiRef,1,29.08702066
Winter,NOAA,LO,1,29.941297
Winter,NOAA,LO,2,28.91000774
Winter,NOAA,LO,3,46.63930104
Winter,NOAA,HO,1,84.15943896
Winter,NOAA,HO,2,45.44031843
Winter,NOAA,HO,3,68.47017665
Winter,NOAA,LM,1,44.98162932
Winter,NOAA,LM,2,73.14898146
Winter,NOAA,LM,3,56.304518
Winter,NOAA,MM,1,52.51671433
Winter,NOAA,MM,2,37.58501587
Winter,NOAA,MM,3,44.34765763
Winter,NOAA,HM,1,61.48719528
Winter,NOAA,HM,2,34.79570717
Winter,NOAA,HM,3,56.64154989
Winter,NOAA,Ref,1,44.46186271
Winter,NOAA,Ref,2,29.22505524
Winter,NOAA,Ref,3,18.45784819
Winter,NOAA,LoRef,1,69.7187411
Winter,NOAA,HiRef,1,27.52274552
Winter,Army,LO,1,6.548103194
Winter,Army,LO,2,5.671228641
Winter,Army,LO,3,1.756720386
Winter,Army,HO,1,13.56187845
Winter,Army,HO,2,12.71634645
Winter,Army,HO,3,17.68951709
Winter,Army,LM,1,10.82173219
Winter,Army,LM,2,9.476802095
Winter,Army,LM,3,14.91401901
Winter,Army,MM,1,28.78153576
Winter,Army,MM,2,-9.394599857
Winter,Army,MM,3,-11.68142818
Winter,Army,HM,1,18.16856035
Winter,Army,HM,2,-13.83621264
Winter,Army,HM,3,11.13381286
Winter,Army,Ref,1,19.80248624
Winter,Army,Ref,2,10.57404922
Winter,Army,Ref,3,25.65309912
Winter,Army,LoRef,1,7.501657818
Winter,Army,HiRef,1,-17.58901568
Spring,IMS,LO,1,22.9481115
Spring,IMS,LO,2,23.91017234
Spring,IMS,LO,3,10.88959007
Spring,IMS,HO,1,24.75792971
Spring,IMS,HO,2,16.82658243
Spring,IMS,HO,3,11.97881641
Spring,IMS,MM,1,43.64921411
Spring,IMS,MM,2,30.11674252
Spring,IMS,MM,3,57.46171079
Spring,IMS,Ref,1,43.70754416
Spring,IMS,Ref,2,27.67834983
Spring,IMS,Ref,3,40.65519336
Spring,IMS,LoRef,1,22.37675718
Spring,IMS,HiRef,1,40.10406789
Spring,Carrot,LO,1,22.27713111
Spring,Carrot,LO,2,4.532647115
Spring,Carrot,LO,3,19.96853205
Spring,Carrot,HO,1,34.38946301
Spring,Carrot,HO,2,11.94815819
Spring,Carrot,HO,3,36.62199648
Spring,Carrot,LM,1,-3.612190749
Spring,Carrot,LM,2,2.652132128
Spring,Carrot,LM,3,36.3075647
Spring,Carrot,MM,1,23.16232547
Spring,Carrot,MM,2,18.96368456
Spring,Carrot,MM,3,12.11108061
Spring,Carrot,HM,1,27.6351219
Spring,Carrot,HM,2,31.2213148
Spring,Carrot,HM,3,32.72331783
Spring,Carrot,Ref,1,37.37386418
Spring,Carrot,Ref,2,17.46931183
Spring,Carrot,Ref,3,27.98088759
Spring,Carrot,LoRef,1,-2.912959401
Spring,Carrot,HiRef,1,28.83556291
Spring,NOAA,LO,1,76.49928168
Spring,NOAA,LO,2,68.33652148
Spring,NOAA,LO,3,79.6302414
Spring,NOAA,HO,1,71.22939248
Spring,NOAA,HO,2,64.60951734
Spring,NOAA,HO,3,39.87644787
Spring,NOAA,LM,1,92.61018909
Spring,NOAA,LM,2,83.14887789
Spring,NOAA,LM,3,66.54322023
Spring,NOAA,MM,1,64.54215571
Spring,NOAA,MM,2,66.01544264
Spring,NOAA,MM,3,59.72891446
Spring,NOAA,HM,1,65.43021935
Spring,NOAA,HM,2,50.14976008
Spring,NOAA,HM,3,51.5833018
Spring,NOAA,Ref,1,73.57722047
Spring,NOAA,Ref,2,106.8100318
Spring,NOAA,Ref,3,103.2797752
Spring,NOAA,LoRef,1,72.03299821
Spring,NOAA,HiRef,1,40.35162835
Spring,Army,LO,1,13.96503533
Spring,Army,LO,2,27.06918893
Spring,Army,LO,3,16.02548989
Spring,Army,HO,1,24.68140659
Spring,Army,HO,2,15.26237878
Spring,Army,HO,3,25.784504
Spring,Army,LM,1,12.74332898
Spring,Army,LM,2,7.526824932
Spring,Army,LM,3,16.6357242
Spring,Army,MM,1,41.05480734
Spring,Army,MM,2,25.60147738
Spring,Army,MM,3,41.05884524
Spring,Army,HM,1,18.19954167
Spring,Army,HM,2,61.8851539
Spring,Army,HM,3,33.53996517
Spring,Army,Ref,1,24.30674589
Spring,Army,Ref,2,30.07671943
Spring,Army,Ref,3,24.2461431
Spring,Army,LoRef,1,50.84228359
Spring,Army,HiRef,1,2.652459337
