Season,Site,CoreName,CoreNo,N2O_conc_uM,N2O_conc_nM,N2O_flux
Summer,NOAA,HO,1,0.042495774,42.49577409,0.020660029
Summer,NOAA,HO,2,0.042927595,42.92759523,0.028706385
Summer,NOAA,HO,3,0.041551842,41.55184161,0.003071225
Summer,NOAA,LM,1,0.053479794,53.47979398,0.225331207
Summer,NOAA,LM,2,0.050797757,50.79775682,0.175355359
Summer,NOAA,LM,3,0.069997813,69.99781326,0.533120386
Summer,NOAA,MM,1,0.040022975,40.02297478,-0.025416977
Summer,NOAA,MM,2,0.039768551,39.76855063,-0.0301578
Summer,NOAA,MM,3,0.044692381,44.69238134,0.061590599
Summer,NOAA,HM,1,0.042640985,42.64098502,0.023365822
Summer,NOAA,HM,2,0.042621927,42.62192685,0.023010701
Summer,NOAA,HM,3,0.042054239,42.05423944,0.012432675
Summer,NOAA,Ref,1,0.042487413,42.48741309,0.020504234
Summer,NOAA,Ref,2,0.04601883,46.01882965,0.086307027
Summer,NOAA,Ref,3,0.043174614,43.17461365,0.033309213
Summer,Army,LO,1,0.037859603,37.85960288,-0.072813425
Summer,Army,LO,2,0.03540849,35.40849028,-0.11848633
Summer,Army,LO,3,0.034637268,34.63726794,-0.132856933
Summer,Army,HO,1,0.040527229,40.52722919,-0.023106102
Summer,Army,HO,2,0.040841901,40.84190071,-0.017242658
Summer,Army,HO,3,0.040872198,40.87219785,-0.016678115
Summer,Army,LM,1,0.033092976,33.09297586,-0.161632562
Summer,Army,LM,2,0.036433667,36.43366671,-0.099383664
Summer,Army,LM,3,0.025808484,25.80848402,-0.297368435
Summer,Army,MM,1,0.039766063,39.76606326,-0.037289318
Summer,Army,MM,2,0.04145358,41.4535799,-0.005844909
Summer,Army,MM,3,0.05916071,59.16070981,0.324101611
Summer,Army,HM,1,0.036491428,36.49142833,-0.098307361
Summer,Army,HM,2,0.035508249,35.50824916,-0.116627469
Summer,Army,HM,3,0.039987176,39.98717649,-0.033169196
Summer,Army,Ref,1,0.039856997,39.85699731,-0.035594895
Summer,Army,Ref,2,0.040779582,40.7795822,-0.018403872
Summer,Army,Ref,3,0.043596231,43.59623104,0.034080267
Fall,IMS,LO,1,0.037779616,37.77961562,0.062340298
Fall,IMS,LO,2,0.028679812,28.67981181,-0.107221264
Fall,IMS,LO,3,0.033281588,33.28158804,-0.02147388
Fall,IMS,HO,1,0.033045338,33.04533791,-0.025876057
Fall,IMS,HO,2,0.033522873,33.52287323,-0.016977883
Fall,IMS,HO,3,0.032177188,32.17718824,-0.042052759
Fall,IMS,MM,1,0.030441286,30.44128642,-0.074398755
Fall,IMS,MM,2,0.034204593,34.20459332,-0.004275024
Fall,IMS,MM,3,0.031300293,31.30029348,-0.058392413
Fall,IMS,Ref,1,0.035463887,35.46388734,0.019190082
Fall,IMS,Ref,2,0.034181273,34.18127306,-0.004709563
Fall,IMS,Ref,3,0.031449623,31.44962264,-0.055609882
Fall,IMS,LoRef,1,0.036045966,36.04596632,0.030036274
Fall,IMS,HiRef,1,0.051429255,51.42925509,0.316681406
Fall,Carrot,LO,1,0.026172286,26.17228611,-0.026533423
Fall,Carrot,LO,2,0.028241773,28.24177346,0.012028453
Fall,Carrot,LO,3,0.043524211,43.52421068,0.296794364
Fall,Carrot,HO,1,0.027073867,27.07386657,-0.009733787
Fall,Carrot,HO,2,0.028191564,28.19156438,0.01109288
Fall,Carrot,HO,3,0.032011435,32.01143531,0.0822706
Fall,Carrot,LM,1,0.026605805,26.60580493,-0.018455432
Fall,Carrot,LM,2,0.028323315,28.32331506,0.013547862
Fall,Carrot,LM,3,0.020024691,20.02469136,-0.141084878
Fall,Carrot,MM,1,0.027978914,27.97891415,0.007130454
Fall,Carrot,MM,2,0.026552899,26.5528992,-0.019441254
Fall,Carrot,MM,3,0.030548566,30.54856613,0.055012167
Fall,Carrot,HM,1,0.026425643,26.42564294,-0.021812488
Fall,Carrot,HM,2,0.029051154,29.05115412,0.02711008
Fall,Carrot,HM,3,0.02900056,29.0005598,0.026167329
Fall,Carrot,Ref,1,0.020604343,20.604343,-0.130283916
Fall,Carrot,Ref,2,0.025699473,25.69947323,-0.035343601
Fall,Carrot,Ref,3,0.026831938,26.83193842,-0.014241765
Fall,NOAA,LO,1,0.023644491,23.64449075,-0.199206504
Fall,NOAA,LO,2,0.022696575,22.69657519,-0.216869526
Fall,NOAA,LO,3,0.020597619,20.59761932,-0.255980505
Fall,NOAA,HO,1,0.033961453,33.96145311,-0.006964969
Fall,NOAA,HO,2,0.021522612,21.52261212,-0.238744615
Fall,NOAA,HO,3,0.023027696,23.02769638,-0.210699566
Fall,NOAA,LM,1,0.021768932,21.76893236,-0.234154796
Fall,NOAA,LM,2,0.023947522,23.94752162,-0.193559966
Fall,NOAA,LM,3,0.023058967,23.05896673,-0.210116889
Fall,NOAA,MM,1,0.027219513,27.21951305,-0.132591181
Fall,NOAA,MM,2,0.01864733,18.64733011,-0.292321298
Fall,NOAA,MM,3,0.020521961,20.52196098,-0.257390288
Fall,NOAA,HM,1,0.020859575,20.85957474,-0.251099348
Fall,NOAA,HM,2,0.020428415,20.42841494,-0.259133382
Fall,NOAA,HM,3,0.018059289,18.05928856,-0.303278594
Fall,NOAA,Ref,1,0.020585429,20.58542919,-0.256207651
Fall,NOAA,Ref,2,0.023511062,23.51106176,-0.201692758
Fall,NOAA,Ref,3,0.02110245,21.10244994,-0.246573723
Fall,Army,LO,1,,,
Fall,Army,LO,2,0.03250717,32.50716964,0.004881044
Fall,Army,LO,3,0.031823462,31.82346244,-0.007858842
Fall,Army,HO,1,0.029679376,29.67937595,-0.047810764
Fall,Army,HO,2,0.029812527,29.81252739,-0.045329682
Fall,Army,HO,3,0.031386367,31.38636671,-0.016003483
Fall,Army,LM,1,0.055438554,55.43855377,0.432173916
Fall,Army,LM,2,0.029213078,29.21307799,-0.056499546
Fall,Army,LM,3,0.031058712,31.05871236,-0.022108844
Fall,Army,MM,1,0.065541855,65.54185475,0.620434182
Fall,Army,MM,2,0.029350382,29.35038204,-0.053941086
Fall,Army,MM,3,0.029501082,29.50108161,-0.051133019
Fall,Army,HM,1,0.029845346,29.84534641,-0.044718147
Fall,Army,HM,2,0.030941234,30.94123367,-0.024297887
Fall,Army,HM,3,0.029274697,29.27469737,-0.055351359
Fall,Army,Ref,1,0.029121453,29.12145265,-0.058206851
Fall,Army,Ref,2,0.029792836,29.79283598,-0.045696602
Fall,Army,Ref,3,0.029822842,29.82284194,-0.045137485
Winter,IMS,LO,1,0.036842111,36.84211131,0.072107847
Winter,IMS,LO,2,0.030731862,30.73186165,-0.041747737
Winter,IMS,LO,3,0.033711427,33.71142698,0.013772114
Winter,IMS,HO,1,0.037578043,37.57804333,0.085820866
Winter,IMS,HO,2,0.032417481,32.41748057,-0.010338689
Winter,IMS,HO,3,0.031443056,31.44305646,-0.02849566
Winter,IMS,MM,1,0.032256372,32.25637155,-0.01334072
Winter,IMS,MM,2,0.032004559,32.00455943,-0.018032871
Winter,IMS,MM,3,0.033002928,33.00292789,0.000570268
Winter,IMS,Ref,1,0.035795061,35.79506128,0.052597598
Winter,IMS,Ref,2,0.031569914,31.56991395,-0.026131855
Winter,IMS,Ref,3,0.034082644,34.08264372,0.020689196
Winter,Carrot,LO,1,0.021796509,21.79650903,-0.005192304
Winter,Carrot,LO,2,0.02040872,20.40871984,-0.03105173
Winter,Carrot,LO,3,0.017987094,17.98709423,-0.076175189
Winter,Carrot,HO,1,0.019870198,19.87019815,-0.041086296
Winter,Carrot,HO,2,,,
Winter,Carrot,HO,3,0.022379803,22.37980317,0.00567653
Winter,Carrot,LM,1,0.01891307,18.91306976,-0.058920986
Winter,Carrot,LM,2,0.017585708,17.58570772,-0.083654441
Winter,Carrot,LM,3,0.019016391,19.01639079,-0.05699575
Winter,Carrot,MM,1,0.025347308,25.34730818,0.060971655
Winter,Carrot,MM,2,0.023367302,23.36730167,0.024077124
Winter,Carrot,MM,3,0.023031665,23.0316649,0.017823022
Winter,Carrot,HM,1,0.022415026,22.41502625,0.006332861
Winter,Carrot,HM,2,0.021188167,21.18816738,-0.016527863
Winter,Carrot,HM,3,0.019212544,19.21254418,-0.053340718
Winter,Carrot,Ref,1,0.02712897,27.12896964,0.094170316
Winter,Carrot,Ref,2,0.023406908,23.40690807,0.024815131
Winter,Carrot,Ref,3,0.024191835,24.19183475,0.039441094
Winter,NOAA,LO,1,0.035242307,35.24230726,-0.084002065
Winter,NOAA,LO,2,0.052133895,52.13389499,0.230748017
Winter,NOAA,LO,3,0.032177181,32.17718062,-0.141116225
Winter,NOAA,HO,1,0.0329907,32.99069957,-0.125957487
Winter,NOAA,HO,2,0.033989368,33.98936825,-0.107348754
Winter,NOAA,HO,3,0.033024164,33.02416389,-0.125333929
Winter,NOAA,LM,1,0.033852734,33.85273447,-0.109894725
Winter,NOAA,LM,2,0.031243541,31.24354086,-0.15851324
Winter,NOAA,LM,3,0.031758511,31.75851136,-0.148917516
Winter,NOAA,MM,1,0.063715324,63.71532436,0.446551049
Winter,NOAA,MM,2,0.032222336,32.22233553,-0.14027483
Winter,NOAA,MM,3,0.037040612,37.0406123,-0.050493275
Winter,NOAA,HM,1,0.053246839,53.24683918,0.251486108
Winter,NOAA,HM,2,0.018282768,18.28276797,-0.400018325
Winter,NOAA,HM,3,0.023566476,23.56647637,-0.301564131
Winter,NOAA,Ref,1,0.038589616,38.58961551,-0.021629861
Winter,NOAA,Ref,2,0.034197168,34.19716849,-0.1034767
Winter,NOAA,Ref,3,0.037958762,37.95876203,-0.033384895
Winter,Army,LO,1,0.047875055,47.87505451,-0.062872595
Winter,Army,LO,2,0.08330224,83.30223968,0.59726129
Winter,Army,LO,3,0.03978755,39.78755038,-0.21357143
Winter,Army,HO,1,0.05462913,54.62913017,0.062979746
Winter,Army,HO,2,0.070286259,70.28625944,0.354727497
Winter,Army,HO,3,0.049968896,49.96889577,-0.02385692
Winter,Army,LM,1,0.05316378,53.16377956,0.035675077
Winter,Army,LM,2,0.055432502,55.43250222,0.077949412
Winter,Army,LM,3,0.05102867,51.02867035,-0.004109567
Winter,Army,MM,1,0.049887206,49.88720551,-0.025379098
Winter,Army,MM,2,0.068429202,68.42920153,0.320123933
Winter,Army,MM,3,0.055659307,55.65930684,0.082175585
Winter,Army,HM,1,0.050675694,50.67569404,-0.010686765
Winter,Army,HM,2,0.052729282,52.72928213,0.027578851
Winter,Army,HM,3,0.050845332,50.84533239,-0.007525802
Winter,Army,Ref,1,0.069560519,69.5605185,0.341204374
Winter,Army,Ref,2,0.053178832,53.17883221,0.035955561
Winter,Army,Ref,3,0.054130194,54.13019385,0.053682796
Spring,IMS,LO,1,0.020939437,20.93943723,-0.104543339
Spring,IMS,LO,2,0.021645462,21.64546152,-0.091387607
Spring,IMS,LO,3,0.022259924,22.25992425,-0.079937991
Spring,IMS,HO,1,0.025993482,25.99348168,-0.010368598
Spring,IMS,HO,2,0.022607243,22.60724266,-0.07346622
Spring,IMS,HO,3,0.025678941,25.67894078,-0.016229609
Spring,IMS,MM,1,0.025680326,25.68032574,-0.016203802
Spring,IMS,MM,2,0.017338529,17.33852866,-0.171641015
Spring,IMS,MM,3,0.018727802,18.72780227,-0.145753929
Spring,IMS,Ref,1,0.022935633,22.93563321,-0.067347141
Spring,IMS,Ref,2,0.023042737,23.04273716,-0.065351415
Spring,IMS,Ref,3,0.021740716,21.74071633,-0.089612673
Spring,Carrot,LO,1,0.016317502,16.3175018,-0.025937266
Spring,Carrot,LO,2,0.017043069,17.04306949,-0.012417371
Spring,Carrot,LO,3,0.014604916,14.60491584,-0.057848806
Spring,Carrot,HO,1,0.015558849,15.55884884,-0.040073656
Spring,Carrot,HO,2,0.016928117,16.92811741,-0.014559335
Spring,Carrot,HO,3,0.014441952,14.44195165,-0.060885405
Spring,Carrot,LM,1,0.000569374,0.569374432,-0.319380633
Spring,Carrot,LM,2,0.012825698,12.82569768,-0.091001939
Spring,Carrot,LM,3,0.00399747,3.997470169,-0.255503073
Spring,Carrot,MM,1,0.017472716,17.47271636,-0.004411529
Spring,Carrot,MM,2,0.01141765,11.4176501,-0.11723885
Spring,Carrot,MM,3,0.019003256,19.00325639,0.024107851
Spring,Carrot,HM,1,0.015427739,15.42773884,-0.0425167
Spring,Carrot,HM,2,0.013217797,13.21779662,-0.083695748
Spring,Carrot,HM,3,0.011810826,11.81082623,-0.109912587
Spring,Carrot,Ref,1,0.007791966,7.791966047,-0.184798181
Spring,Carrot,Ref,2,0.014034772,14.03477198,-0.068472604
Spring,Carrot,Ref,3,0.013232416,13.23241569,-0.083423343
Spring,NOAA,LO,1,0.016532082,16.53208199,-0.054951719
Spring,NOAA,LO,2,0.016087225,16.08722541,-0.063240972
Spring,NOAA,LO,3,0.01767262,17.67261994,-0.033699459
Spring,NOAA,HO,1,0.009378767,9.378767288,-0.188243297
Spring,NOAA,HO,2,0.013550906,13.55090606,-0.110501581
Spring,NOAA,HO,3,0.020591025,20.59102471,0.020680754
Spring,NOAA,LM,1,0.014368491,14.36849086,-0.095267081
Spring,NOAA,LM,2,0.019358734,19.35873428,-0.002281179
Spring,NOAA,LM,3,0.015660433,15.6604334,-0.071193618
Spring,NOAA,MM,1,0.023969232,23.96923158,0.083628708
Spring,NOAA,MM,2,0.017615177,17.61517717,-0.034769821
Spring,NOAA,MM,3,0.020310959,20.3109587,0.015462133
Spring,NOAA,HM,1,0.025231933,25.23193289,0.107157304
Spring,NOAA,HM,2,0.025686407,25.68640659,0.115625758
Spring,NOAA,HM,3,0.024972791,24.97279061,0.102328566
Spring,NOAA,Ref,1,0.020982857,20.9828572,0.027981981
Spring,NOAA,Ref,2,0.019315327,19.31532729,-0.003090005
Spring,NOAA,Ref,3,0.021960814,21.96081391,0.046204777
Spring,Army,LO,1,0.018758719,18.75871854,-0.058966921
Spring,Army,LO,2,0.013458177,13.45817654,-0.157734784
Spring,Army,LO,3,0.016626315,16.62631509,-0.098701146
Spring,Army,HO,1,0.01948471,19.48470961,-0.045439137
Spring,Army,HO,2,0.018018536,18.01853576,-0.072759146
Spring,Army,HO,3,0.016187804,16.18780399,-0.106872161
Spring,Army,LM,1,0.019383284,19.38328439,-0.047329048
Spring,Army,LM,2,0.026340352,26.34035156,0.082305744
Spring,Army,LM,3,0.050164342,50.16434205,0.526231033
Spring,Army,MM,1,0.019101143,19.10114259,-0.052586348
Spring,Army,MM,2,0.017539663,17.53966289,-0.081682243
Spring,Army,MM,3,0.017904742,17.90474161,-0.074879534
Spring,Army,HM,1,0.017565442,17.56544234,-0.081201881
Spring,Army,HM,2,0.01681901,16.81900999,-0.095110558
Spring,Army,HM,3,0.017852792,17.8527921,-0.075847538
Spring,Army,Ref,1,0.018335831,18.33583135,-0.066846806
Spring,Army,Ref,2,0.019431588,19.43158831,-0.046428975
Spring,Army,Ref,3,0.016656652,16.65665152,-0.098135871
