Season,Site,CoreName,Habitat,O2conc,SOD,PercentOM,PercentInundation,NOxFlux,NH3Flux,N2Flux
Fall,Carrot,MM,marsh,6.705962192,260.395411,0.485858404,72.135,0,-5.484273292,10.11299856
Fall,Carrot,HM,marsh,6.881903713,157.8491601,0.494657076,51.72,0,-4.462910651,1.714975043
Fall,Carrot,Ref,ref,6.923195253,133.7826829,0.810102415,81.64,0,8.948024849,-0.197990124
Fall,NOAA,LO,oyster,4.267601789,1177.716054,1.97993709,100,-2.964172002,-13.23330721,29.13937393
Fall,NOAA,HO,oyster,4.372706986,1116.456246,2.913608137,98.99,-2.964172002,-17.6606922,37.06551349
Fall,NOAA,LM,marsh,4.226032566,1201.944377,3.862807488,99.405,-2.964172002,35.96972766,39.09755876
Fall,NOAA,MM,marsh,3.960791405,1356.538281,4.250307361,98.81,-2.964172002,-13.80171772,52.53318615
Fall,NOAA,HM,marsh,3.627353343,1550.880257,1.943935237,74.91,-2.964172002,-18.25574695,60.48936209
Fall,NOAA,Ref,ref,3.832645346,1431.227289,1.436976015,99.405,-2.964172002,-15.69345894,55.01592586
Fall,Army,LO,oyster,6.184460666,228.2225126,2.1053165,96.02,-2.937527761,-0.506240612,2.097510314
Fall,Army,HO,oyster,6.098398584,278.3831784,2.586174886,88.395,-3.576989587,-4.911422069,25.46511898
Fall,Army,LM,marsh,6.145994905,250.6420052,3.489306007,72.985,-3.576989587,3.663583367,5.727577255
Fall,Army,MM,marsh,5.755714296,478.1142514,2.718928424,60.345,-2.320269474,16.35068361,12.62790436
Fall,Army,HM,marsh,5.454195634,653.8522355,5.755567506,52.955,-0.80998498,45.85030099,6.628048886
Fall,Army,Ref,ref,6.108166092,272.6902566,2.826862807,96.775,-0.062613976,7.66021978,23.15313277
Winter,IMS,LO,oyster,8.910795438,110.8659885,0.955757041,100,-0.515122024,79.28882554,19.287796
Winter,IMS,HO,oyster,8.948013618,58.41157908,4.385596852,94.79,0.039966371,40.74348782,3.578822091
Winter,IMS,MM,marsh,8.433802206,388.8780639,1.709080037,73.38,-1.021362632,143.7678929,34.93094058
Winter,IMS,Ref,ref,8.859385139,140.8301117,2.024217019,99.975,-0.821530813,-5.79512279,14.05498137
Winter,Carrot,LO,oyster,9.177087721,350.3971443,0.780092558,100,-2.632628808,27.53238414,43.74939592
Winter,Carrot,HO,oyster,8.865109295,532.2315264,2.67643721,66.99,-0.659445001,41.03213374,57.69855145
Winter,Carrot,LM,marsh,9.630369568,86.20507913,0.854672456,68.01,-2.611135785,19.49470426,17.19017599
Winter,Carrot,MM,marsh,9.583079295,113.7678749,0.820742226,59.56,-2.413240111,-26.47105512,19.47529979
Winter,Carrot,HM,marsh,9.491494761,167.1472617,0.547485061,40.485,-2.09157305,-27.26594169,30.38350824
Winter,Carrot,Ref,ref,9.69818707,46.67813585,0.911827182,68.01,-2.611135785,-59.11913386,-9.224695386
Winter,NOAA,LO,oyster,8.327656412,520.0237964,6.314137432,100,-0.619034562,-6.638857177,35.16353526
Winter,NOAA,HO,oyster,7.32270151,1105.754535,7.942808647,94.93,-0.262889847,-26.75526042,66.02331135
Winter,NOAA,LM,marsh,7.900402052,769.0459277,6.525350031,96.83,0.404548427,36.30278065,58.14504293
Winter,NOAA,MM,marsh,8.244246596,568.6386077,3.955998353,93.38,-1.150587211,27.73221592,44.81646261
Winter,NOAA,HM,marsh,8.776814803,258.2350582,0.62658398,62.18,-0.735381091,-37.05770093,50.97481745
Winter,NOAA,Ref,ref,8.496963474,421.3443927,1.972210001,96.83,0.758916855,-16.98570476,30.71492205
Winter,Army,LO,oyster,9.579199922,87.24752003,4.561793157,85.765,2.735475575,56.66342285,4.658684073
Winter,Army,HO,oyster,9.622651777,61.92191909,2.762247429,73.68,-0.928107802,-137.0402216,14.655914
Winter,Army,LM,marsh,9.605326466,72.01985189,3.864497464,60.44,1.003599809,-39.34466507,11.73751776
Winter,Army,MM,marsh,9.498153644,134.4847604,4.211646284,48.8,-1.181228097,-51.46779546,2.568502576
Winter,Army,HM,marsh,9.590003679,80.95062774,6.753394449,41.46,-1.634180223,-67.40993406,5.155386854
Winter,Army,Ref,ref,9.379382284,203.7097937,3.910599309,87.38,1.989436785,-3.596972757,18.67654486
Spring,IMS,LO,oyster,4.09501007,1388.717483,0.81311687,100,0.371687187,-4.094331962,19.2492913
Spring,IMS,HO,oyster,3.944462343,1476.463144,2.56457555,92.87,-1.079447087,2.486795989,17.85444285
Spring,IMS,MM,marsh,4.172528606,1343.536362,0.953004697,69.225,6.538941232,200.4979264,43.74255581
Spring,IMS,Ref,ref,5.286781652,694.1019864,0.561910166,100,-0.421423107,-1.305567889,37.34702912
Spring,Carrot,LO,oyster,5.44132649,820.3380847,0.680090223,100,-2.941968467,12.94466125,15.59277009
Spring,Carrot,HO,oyster,5.701181818,668.8832756,0.84525977,61.55,-2.678190461,32.70580792,27.6532059
Spring,Carrot,LM,marsh,6.027023296,478.9689129,1.032324489,62.61,-3.030782608,13.87720974,11.78250203
Spring,Carrot,MM,marsh,6.234125628,358.2608083,1.952794616,55.23,-2.741079753,7.526998555,18.07903021
Spring,Carrot,HM,marsh,5.904920483,550.1356598,0.305722036,36.3,-3.030782608,37.23532918,30.52658484
Spring,Carrot,Ref,ref,3.665360572,1855.447049,0.93103458,62.61,-1.067545993,0.066610607,27.6080212
Spring,NOAA,LO,oyster,4.045396005,1725.348376,1.779845192,100,-2.475960661,139.8600707,74.82201485
Spring,NOAA,HO,oyster,4.248279876,1607.09897,6.958705259,93.225,-3.099613571,-15.07620066,58.5717859
Spring,NOAA,LM,marsh,2.816175274,2441.79084,5.546571908,96.24,-3.010044507,0.9991591,80.76742907
Spring,NOAA,MM,marsh,3.258733387,2183.849026,4.897659073,90.715,-2.936639618,-50.24660104,63.4288376
Spring,NOAA,HM,marsh,5.933382357,624.9491067,0.677846579,57.065,-3.019236774,-3.796804581,55.72109374
Spring,NOAA,Ref,ref,4.554725878,1428.489122,1.302024282,96.24,-3.139579932,-28.17628665,94.55567582
Spring,Army,LO,oyster,5.993539583,436.3837836,2.051858075,82.13,-2.310721946,0.843734357,19.01990472
Spring,Army,HO,oyster,6.31270552,250.260811,4.561025371,69.475,-2.310721946,-21.80387194,21.90942979
Spring,Army,LM,marsh,6.241053125,292.0228939,5.415666222,55.935,-0.671656956,-4.041043474,12.30195937
Spring,Army,MM,marsh,5.953182645,459.8061332,2.964261726,43.705,-2.310721946,19.45029718,35.90504332
Spring,Army,HM,marsh,5.619473625,654.3060361,4.771878293,37.21,-2.310721946,-8.39293645,37.87488691
Spring,Army,Ref,ref,6.337343652,235.9006527,2.295930777,83.92,-2.310721946,1.99831821,26.20986948
